track_title,track_artist,label,release,top50_acts,act_count,source_platforms,source_urls,confidence,notes
"Magic Keys","Naghachian","Frankfurt Beat","","Paramida","1","MixesDB","https://www.mixesdb.com/w/2024-03-09_-_Paramida_-_Essential_Mix","Medium","Paramida Essential Mix 2024-03-09 tracklist."
"Up All Night (Salt City Vocal Mix)","Superstars Of Rock","Stress","","Paramida","1","MixesDB","https://www.mixesdb.com/w/2024-03-09_-_Paramida_-_Essential_Mix","Medium","Paramida Essential Mix 2024-03-09 tracklist."
"In Too Deep","Attaboy","Toko","","Paramida","1","MixesDB","https://www.mixesdb.com/w/2024-03-09_-_Paramida_-_Essential_Mix","Medium","Paramida Essential Mix 2024-03-09 tracklist."
"Daylight","Jay Ray","Mfs","","Paramida","1","MixesDB","https://www.mixesdb.com/w/2024-03-09_-_Paramida_-_Essential_Mix","Medium","Paramida Essential Mix 2024-03-09 tracklist."
"Automatic Lover (Francesco Zappala Zappa Version)","Air Kraft Vision","Eletrik","","Paramida","1","MixesDB","https://www.mixesdb.com/w/2024-03-09_-_Paramida_-_Essential_Mix","Medium","Paramida Essential Mix 2024-03-09 tracklist."
"Game Over","Felix Rennefeld","Funkhaus","","Paramida","1","MixesDB","https://www.mixesdb.com/w/2024-03-09_-_Paramida_-_Essential_Mix","Medium","Paramida Essential Mix 2024-03-09 tracklist."
"My Love Reaches So High (Dub)","Whizz","Zest","","Paramida","1","MixesDB","https://www.mixesdb.com/w/2024-03-09_-_Paramida_-_Essential_Mix","Medium","Paramida Essential Mix 2024-03-09 tracklist."
"Distant Planet (Supersleuth In The Mix)","The 3 Stoneheads","Eureka","","Paramida","1","MixesDB","https://www.mixesdb.com/w/2024-03-09_-_Paramida_-_Essential_Mix","Medium","Paramida Essential Mix 2024-03-09 tracklist."
"Behind The Sun","Benoit B","","","Paramida","1","MixesDB; DJ Tracklists","https://www.mixesdb.com/w/2023-01-06_-_Paramida_-_Residency,_BBC_Radio_1; https://tracklists.thomaslaupstad.com/paramida-residency-2023-01-06-tracklist/","Medium","Paramida BBC Radio 1 Residency 2023-01-06 tracklist."
"Soft Guidance (Insomnia Mix)","Jex Opolis","","","Paramida","1","MixesDB; DJ Tracklists","https://www.mixesdb.com/w/2023-01-06_-_Paramida_-_Residency,_BBC_Radio_1; https://tracklists.thomaslaupstad.com/paramida-residency-2023-01-06-tracklist/","Medium","Paramida BBC Radio 1 Residency 2023-01-06 tracklist."
"Open Your Mind","Alex Kassian","","","Paramida","1","MixesDB; DJ Tracklists","https://www.mixesdb.com/w/2023-01-06_-_Paramida_-_Residency,_BBC_Radio_1; https://tracklists.thomaslaupstad.com/paramida-residency-2023-01-06-tracklist/","Medium","Paramida BBC Radio 1 Residency 2023-01-06 tracklist."
"Betongbonus","Telephones","","","Paramida","1","MixesDB; DJ Tracklists","https://www.mixesdb.com/w/2023-01-06_-_Paramida_-_Residency,_BBC_Radio_1; https://tracklists.thomaslaupstad.com/paramida-residency-2023-01-06-tracklist/","Medium","Paramida BBC Radio 1 Residency 2023-01-06 tracklist."
"Konbanwa","Paramida","","","Paramida","1","MixesDB; DJ Tracklists","https://www.mixesdb.com/w/2023-01-06_-_Paramida_-_Residency,_BBC_Radio_1; https://tracklists.thomaslaupstad.com/paramida-residency-2023-01-06-tracklist/","Medium","DJ Tracklists lists Paramida; MixesDB renders this slot as Paramida & Paramida."
"Forbidden Fruit","Sweely","","","Paramida","1","MixesDB; DJ Tracklists","https://www.mixesdb.com/w/2023-01-06_-_Paramida_-_Residency,_BBC_Radio_1; https://tracklists.thomaslaupstad.com/paramida-residency-2023-01-06-tracklist/","Medium","Paramida BBC Radio 1 Residency 2023-01-06 tracklist."
"Rise Up","E-Talking","","","Paramida","1","MixesDB; DJ Tracklists","https://www.mixesdb.com/w/2023-01-06_-_Paramida_-_Residency,_BBC_Radio_1; https://tracklists.thomaslaupstad.com/paramida-residency-2023-01-06-tracklist/","Medium","Paramida BBC Radio 1 Residency 2023-01-06 tracklist."
"Sonorous","Blue Noise","","","Paramida","1","MixesDB; DJ Tracklists","https://www.mixesdb.com/w/2023-01-06_-_Paramida_-_Residency,_BBC_Radio_1; https://tracklists.thomaslaupstad.com/paramida-residency-2023-01-06-tracklist/","Medium","Paramida BBC Radio 1 Residency 2023-01-06 tracklist."
"Dance When The Record Spins","The Trip & The Trip","","","Paramida","1","MixesDB; DJ Tracklists","https://www.mixesdb.com/w/2023-01-06_-_Paramida_-_Residency,_BBC_Radio_1; https://tracklists.thomaslaupstad.com/paramida-residency-2023-01-06-tracklist/","Medium","Paramida BBC Radio 1 Residency 2023-01-06 tracklist."
"Feel Up","Atmosfear & Róisín Murphy","","","Paramida","1","MixesDB; DJ Tracklists","https://www.mixesdb.com/w/2023-01-06_-_Paramida_-_Residency,_BBC_Radio_1; https://tracklists.thomaslaupstad.com/paramida-residency-2023-01-06-tracklist/","Medium","Paramida BBC Radio 1 Residency 2023-01-06 tracklist."
"Souvenirs (Deep Dean Remix)","Leinad","","","Paramida","1","MixesDB; DJ Tracklists","https://www.mixesdb.com/w/2023-01-06_-_Paramida_-_Residency,_BBC_Radio_1; https://tracklists.thomaslaupstad.com/paramida-residency-2023-01-06-tracklist/","Medium","Paramida BBC Radio 1 Residency 2023-01-06 tracklist."
"T.O.S.D.L.","Laurine","","","Paramida","1","MixesDB; DJ Tracklists","https://www.mixesdb.com/w/2023-01-06_-_Paramida_-_Residency,_BBC_Radio_1; https://tracklists.thomaslaupstad.com/paramida-residency-2023-01-06-tracklist/","Medium","Paramida BBC Radio 1 Residency 2023-01-06 tracklist."
"Kali's Dream (Nova Bass Vibe Chugger Mix)","Jondi & Spesh","","","Paramida","1","MixesDB; DJ Tracklists","https://www.mixesdb.com/w/2023-01-06_-_Paramida_-_Residency,_BBC_Radio_1; https://tracklists.thomaslaupstad.com/paramida-residency-2023-01-06-tracklist/","Medium","Paramida BBC Radio 1 Residency 2023-01-06 tracklist."
"El Mundo Sera Feliz","Tobias","","","Paramida","1","DJ Tracklists","https://tracklists.thomaslaupstad.com/ostgut-ton-paramida-r1s-wind-down-presents-2021-04-17-tracklist-playlist/","Medium","Ostgut Ton: Paramida - R1s Wind Down Presents 2021-04-17 tracklist."
"Junoctal","Harmon Eyes","","","Paramida","1","DJ Tracklists","https://tracklists.thomaslaupstad.com/ostgut-ton-paramida-r1s-wind-down-presents-2021-04-17-tracklist-playlist/","Medium","Ostgut Ton: Paramida - R1s Wind Down Presents 2021-04-17 tracklist."
"Hutchin","Dust-e-1","","","Paramida","1","DJ Tracklists","https://tracklists.thomaslaupstad.com/ostgut-ton-paramida-r1s-wind-down-presents-2021-04-17-tracklist-playlist/","Medium","Ostgut Ton: Paramida - R1s Wind Down Presents 2021-04-17 tracklist."
"Sunshine's Theme (Sunshine Remix)","Dubtribe Sound System","","","Paramida","1","DJ Tracklists","https://tracklists.thomaslaupstad.com/ostgut-ton-paramida-r1s-wind-down-presents-2021-04-17-tracklist-playlist/","Medium","Ostgut Ton: Paramida - R1s Wind Down Presents 2021-04-17 tracklist."
"Spectral","The Higher Intelligence Agency","","","Paramida","1","DJ Tracklists","https://tracklists.thomaslaupstad.com/ostgut-ton-paramida-r1s-wind-down-presents-2021-04-17-tracklist-playlist/","Medium","Ostgut Ton: Paramida - R1s Wind Down Presents 2021-04-17 tracklist."
"Elixir","José Padilla","","","Paramida","1","DJ Tracklists","https://tracklists.thomaslaupstad.com/ostgut-ton-paramida-r1s-wind-down-presents-2021-04-17-tracklist-playlist/","Medium","Ostgut Ton: Paramida - R1s Wind Down Presents 2021-04-17 tracklist."
"Ageispolis","Aphex Twin","","","Paramida","1","DJ Tracklists","https://tracklists.thomaslaupstad.com/ostgut-ton-paramida-r1s-wind-down-presents-2021-04-17-tracklist-playlist/","Medium","Ostgut Ton: Paramida - R1s Wind Down Presents 2021-04-17 tracklist."
"Pressure","Spacetime Continuum","","","Paramida","1","DJ Tracklists","https://tracklists.thomaslaupstad.com/ostgut-ton-paramida-r1s-wind-down-presents-2021-04-17-tracklist-playlist/","Medium","Ostgut Ton: Paramida - R1s Wind Down Presents 2021-04-17 tracklist."
"Bhagwash","Astralasia","","","Paramida","1","DJ Tracklists","https://tracklists.thomaslaupstad.com/ostgut-ton-paramida-r1s-wind-down-presents-2021-04-17-tracklist-playlist/","Medium","Ostgut Ton: Paramida - R1s Wind Down Presents 2021-04-17 tracklist."
"Fill 25","Speedy J","","","Paramida","1","DJ Tracklists","https://tracklists.thomaslaupstad.com/ostgut-ton-paramida-r1s-wind-down-presents-2021-04-17-tracklist-playlist/","Medium","Ostgut Ton: Paramida - R1s Wind Down Presents 2021-04-17 tracklist."
"Sun Sign Cancer","A.R.T Wilson","","","Paramida","1","DJ Tracklists","https://tracklists.thomaslaupstad.com/ostgut-ton-paramida-r1s-wind-down-presents-2021-04-17-tracklist-playlist/","Medium","Ostgut Ton: Paramida - R1s Wind Down Presents 2021-04-17 tracklist."
"Olson Waters","Alex Kassian","","","Paramida","1","DJ Tracklists","https://tracklists.thomaslaupstad.com/ostgut-ton-paramida-r1s-wind-down-presents-2021-04-17-tracklist-playlist/","Medium","Ostgut Ton: Paramida - R1s Wind Down Presents 2021-04-17 tracklist."
"Thousand Oaks","Newworldaquarium","","","Paramida","1","DJ Tracklists","https://tracklists.thomaslaupstad.com/ostgut-ton-paramida-r1s-wind-down-presents-2021-04-17-tracklist-playlist/","Medium","Ostgut Ton: Paramida - R1s Wind Down Presents 2021-04-17 tracklist."
"Plastic Smile (Kotelett & Zadak I Think Smile Remix)","Minimal Man","Sender","SEND 089","André Galluzzi","1","MixesDB","https://www.mixesdb.com/w/2013-10-16_-_Andr%C3%A9_Galluzzi_@_Boiler_Room_Berlin","Medium","Boiler Room Berlin tracklist."
"How I Want It","Victor Shan","","","André Galluzzi","1","MixesDB","https://www.mixesdb.com/w/2013-10-16_-_Andr%C3%A9_Galluzzi_@_Boiler_Room_Berlin","Medium","Boiler Room Berlin tracklist."
"Somewhere","John Tejada","Kompakt","264","André Galluzzi","1","MixesDB","https://www.mixesdb.com/w/2013-10-16_-_Andr%C3%A9_Galluzzi_@_Boiler_Room_Berlin","Medium","Boiler Room Berlin tracklist."
"Beetle","André Galluzzi & Dana Ruh","Cocoon","COR 12100","André Galluzzi","1","MixesDB","https://www.mixesdb.com/w/2013-10-16_-_Andr%C3%A9_Galluzzi_@_Boiler_Room_Berlin","Medium","Boiler Room Berlin tracklist."
"Profound","Dimi Angelis & Jeroen Search","Stockholm","STHLMLTD 028","André Galluzzi","1","MixesDB","https://www.mixesdb.com/w/2013-10-16_-_Andr%C3%A9_Galluzzi_@_Boiler_Room_Berlin","Medium","Boiler Room Berlin tracklist."
"Nightflow (Kenny Larkin Drama Mix)","La Fleur","Watergate","WGVINYL 013","André Galluzzi","1","MixesDB","https://www.mixesdb.com/w/2013-10-16_-_Andr%C3%A9_Galluzzi_@_Boiler_Room_Berlin","Medium","Boiler Room Berlin tracklist."
"Arcade","Psyk","Mote Evolver","MOTE 035D","André Galluzzi","1","MixesDB","https://www.mixesdb.com/w/2013-10-16_-_Andr%C3%A9_Galluzzi_@_Boiler_Room_Berlin","Medium","Boiler Room Berlin tracklist."
"When The Wild Horse","Nick Curly","Bedrock","BEDATA 01CD","André Galluzzi","1","MixesDB","https://www.mixesdb.com/w/2013-10-16_-_Andr%C3%A9_Galluzzi_@_Boiler_Room_Berlin","Medium","Boiler Room Berlin tracklist."
"CompuRhythm (Baikal Remix)","Ian Pooley","Innervisions","IV 40","André Galluzzi","1","MixesDB","https://www.mixesdb.com/w/2013-10-16_-_Andr%C3%A9_Galluzzi_@_Boiler_Room_Berlin","Medium","Boiler Room Berlin tracklist."
"Figment","Lusine","Ostgut Ton","Berghain 01","André Galluzzi","1","Discogs; se7en.ws","https://www.discogs.com/release/586244-Andr%C3%A9-Galluzzi-Berghain-01; https://se7en.ws/andre-galluzzi-berghain-01/","Medium","Berghain 01 release."
"Teco (Pink Elln Vs. Pier Bucci Remix)","Monne Automne","Ostgut Ton","Berghain 01","André Galluzzi","1","Discogs; se7en.ws","https://www.discogs.com/release/586244-Andr%C3%A9-Galluzzi-Berghain-01; https://se7en.ws/andre-galluzzi-berghain-01/","Medium","Berghain 01 release."
"Mammals (P20 Remix)","C:C/P","Ostgut Ton","Berghain 01","André Galluzzi","1","Discogs; se7en.ws","https://www.discogs.com/release/586244-Andr%C3%A9-Galluzzi-Berghain-01; https://se7en.ws/andre-galluzzi-berghain-01/","Medium","Berghain 01 release."
"Par","Alex Under","Ostgut Ton","Berghain 01","André Galluzzi","1","Discogs; se7en.ws","https://www.discogs.com/release/586244-Andr%C3%A9-Galluzzi-Berghain-01; https://se7en.ws/andre-galluzzi-berghain-01/","Medium","Berghain 01 release."
"Deviant Behaviour","Daniel Stefanik","Ostgut Ton","Berghain 01","André Galluzzi","1","Discogs; se7en.ws","https://www.discogs.com/release/586244-Andr%C3%A9-Galluzzi-Berghain-01; https://se7en.ws/andre-galluzzi-berghain-01/","Medium","Berghain 01 release."
"Fudgebuster Beat","Ali Khan","Ostgut Ton","Berghain 01","André Galluzzi","1","Discogs; se7en.ws","https://www.discogs.com/release/586244-Andr%C3%A9-Galluzzi-Berghain-01; https://se7en.ws/andre-galluzzi-berghain-01/","Medium","Berghain 01 release."
"Utilizame","Maetrik","Ostgut Ton","Berghain 01","André Galluzzi","1","Discogs; se7en.ws","https://www.discogs.com/release/586244-Andr%C3%A9-Galluzzi-Berghain-01; https://se7en.ws/andre-galluzzi-berghain-01/","Medium","Berghain 01 release."
"M.O.R.D. (LocoDice Remix)","Daniel Taylor","Ostgut Ton","Berghain 01","André Galluzzi","1","Discogs; se7en.ws","https://www.discogs.com/release/586244-Andr%C3%A9-Galluzzi-Berghain-01; https://se7en.ws/andre-galluzzi-berghain-01/","Medium","Berghain 01 release."
"Naxos (Audion's Put Salt In My Wound Mix)","2 Dollar Egg","Ostgut Ton","Berghain 01","André Galluzzi","1","Discogs; se7en.ws","https://www.discogs.com/release/586244-Andr%C3%A9-Galluzzi-Berghain-01; https://se7en.ws/andre-galluzzi-berghain-01/","Medium","Berghain 01 release."
"Regenschauer (Guido Schneider Remix)","Taksi","Ostgut Ton","Berghain 01","André Galluzzi","1","Discogs; se7en.ws","https://www.discogs.com/release/586244-Andr%C3%A9-Galluzzi-Berghain-01; https://se7en.ws/andre-galluzzi-berghain-01/","Medium","Berghain 01 release."
"Wombat","Wighnomy Brothers","Ostgut Ton","Berghain 01","André Galluzzi","1","Discogs; se7en.ws","https://www.discogs.com/release/586244-Andr%C3%A9-Galluzzi-Berghain-01; https://se7en.ws/andre-galluzzi-berghain-01/","Medium","Berghain 01 release."
"Rej","Âme","Ostgut Ton","Berghain 01","André Galluzzi","1","Discogs; se7en.ws","https://www.discogs.com/release/586244-Andr%C3%A9-Galluzzi-Berghain-01; https://se7en.ws/andre-galluzzi-berghain-01/","Medium","Berghain 01 release."
"Easy Woman (Robag Wruhme Remix) (Motoguzzi Re-Remix)","Metaboman","Ostgut Ton","Berghain 01","André Galluzzi","1","Discogs; se7en.ws","https://www.discogs.com/release/586244-Andr%C3%A9-Galluzzi-Berghain-01; https://se7en.ws/andre-galluzzi-berghain-01/","Medium","Berghain 01 release."
